what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678303481
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678309362
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678312716
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678313090
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678314995
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678320314
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678338630
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678381982
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678423197
started,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1284678433915
started,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1284678434164
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,"org.eclipse.wst.common.uriresolver",1284678434242
started,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1284678434492
started,bundle,org.eclipse.jst.jsp.core,1.2.204.v201001270045,"org.eclipse.jst.jsp.core",1284678434523
started,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1284678435007
started,bundle,org.eclipse.compare.core,3.5.0.I20090430-0408,"org.eclipse.compare.core",1284678435053
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1284678435100
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1284678435194
started,bundle,org.eclipse.jem.workbench,2.0.201.v200911302230,"org.eclipse.jem.workbench",1284678435896
started,bundle,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.ui",1284678435927
started,bundle,org.eclipse.jst.jsf.ui,1.2.3.v201001271707,"org.eclipse.jst.jsf.ui",1284678435943
started,bundle,org.eclipse.jst.j2ee.web,1.1.301.v200911302230,"org.eclipse.jst.j2ee.web",1284678436005
started,bundle,org.eclipse.wst.wsi.ui,1.0.500.v200901141851,"org.eclipse.wst.wsi.ui",1284678436021
started,bundle,org.eclipse.wst.wsdl.validation,1.1.402.v200911251542,"org.eclipse.wst.wsdl.validation",1284678436036
started,bundle,org.eclipse.wst.xsl.core,1.0.1.v200908101420,"org.eclipse.wst.xsl.core",1284678436067
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1284678436099
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1284678436114
started,bundle,org.eclipse.jst.j2ee.jca,1.1.301.v201001252130,"org.eclipse.jst.j2ee.jca",1284678436114
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.301.v201001252130,"org.eclipse.jst.j2ee.ejb",1284678436145
started,bundle,org.eclipse.jst.common.frameworks,1.1.301.v201001252130,"org.eclipse.jst.common.frameworks",1284678436145
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1284678436223
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.201.v201001221931,"org.eclipse.wst.jsdt.web.core",1284678436223
started,bundle,org.eclipse.stp.xef,1.0.0.201002010854,"org.eclipse.stp.xef",1284678436582
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,"org.eclipse.wst.internet.cache",1284678436613
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1284678453992
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1284678458656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678460513
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1284678460559
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678479638
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1284678481058
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284678482353
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284678533864
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284678534082
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1284678536376
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1284678538591
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284678538591
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284678540541
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678552069
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678561585
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284678579572
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284678579666
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1284678582942
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284678582942
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284678585921
opened,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1284678611599
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1284678611646
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678616903
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1284678616934
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1284678618510
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678629621
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1284678630401
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1284678634316
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678644956
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678647093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678647483
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678649512
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678652928
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678655455
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678655845
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678671582
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678674910
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678677723
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284678678099
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284679050672
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284679195911
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284681449147
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284681449631
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284681450629
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284681452798
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284681454529
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284681454670
stopped,bundle,org.eclipse.emf.teneo.eclipselink.ui,1.0.0.v200909151729,"org.eclipse.emf.teneo.eclipselink.ui",1284681454935
stopped,bundle,org.eclipse.emf.teneo.eclipselink,1.0.0.v200909151729,"org.eclipse.emf.teneo.eclipselink",1284681454935
stopped,bundle,org.eclipse.emf.ecoretools.diagram,0.9.0.v200906221231,"org.eclipse.emf.ecoretools.diagram",1284681454935
stopped,bundle,org.eclipse.gmf.ecore.editor,2.1.0.v20090529-1925,"org.eclipse.gmf.ecore.editor",1284681454935
stopped,bundle,org.eclipse.uml2.diagram.activity,0.9.0.v200906190654,"org.eclipse.uml2.diagram.activity",1284681454935
stopped,bundle,org.eclipse.uml2.diagram.clazz,0.9.0.v200906190654,"org.eclipse.uml2.diagram.clazz",1284681454935
stopped,bundle,org.eclipse.uml2.diagram.component,0.9.0.v200906190654,"org.eclipse.uml2.diagram.component",1284681454935
stopped,bundle,org.eclipse.uml2.diagram.csd,0.9.0.v200906190654,"org.eclipse.uml2.diagram.csd",1284681454935
stopped,bundle,org.eclipse.uml2.diagram.deploy,0.9.0.v200906190654,"org.eclipse.uml2.diagram.deploy",1284681454935
stopped,bundle,org.eclipse.uml2.diagram.profile,0.9.0.v200906190654,"org.eclipse.uml2.diagram.profile",1284681454935
stopped,bundle,org.eclipse.uml2.diagram.sequence,0.9.0.v200906190654,"org.eclipse.uml2.diagram.sequence",1284681454935
stopped,bundle,org.eclipse.uml2.diagram.statemachine,0.9.0.v200906190654,"org.eclipse.uml2.diagram.statemachine",1284681454935
stopped,bundle,org.eclipse.uml2.diagram.usecase,0.9.0.v200906190654,"org.eclipse.uml2.diagram.usecase",1284681454935
stopped,bundle,org.eclipse.stp.bpmn.validation,1.2.0.201002010854,"org.eclipse.stp.bpmn.validation",1284681454935
stopped,bundle,org.eclipse.stp.im.tool.in.bpmneditor,1.0.0.201002010854,"org.eclipse.stp.im.tool.in.bpmneditor",1284681454935
stopped,bundle,org.eclipse.stp.bpmn.diagram,1.2.0.201002010854,"org.eclipse.stp.bpmn.diagram",1284681454935
stopped,bundle,org.eclipse.stp.sca.diagram.frascati,2.0.1.201002010854,"org.eclipse.stp.sca.diagram.frascati",1284681454935
stopped,bundle,org.eclipse.stp.sca.diagram.tuscany,2.0.1.201002010854,"org.eclipse.stp.sca.diagram.tuscany",1284681454935
stopped,bundle,org.eclipse.stp.sca.diagram.extension,2.0.1.201002010854,"org.eclipse.stp.sca.diagram.extension",1284681454935
stopped,bundle,org.eclipse.stp.sca.diagram.java,2.0.1.201002010854,"org.eclipse.stp.sca.diagram.java",1284681454935
stopped,bundle,org.eclipse.stp.sca.diagram.sca,2.0.1.201002010854,"org.eclipse.stp.sca.diagram.sca",1284681454935
stopped,bundle,org.eclipse.stp.sca.semantic.sawsdl.properties,2.0.1.201002010854,"org.eclipse.stp.sca.semantic.sawsdl.properties",1284681454935
stopped,bundle,org.eclipse.stp.sca.semantic.sawsdl.edit,2.0.1.201002010854,"org.eclipse.stp.sca.semantic.sawsdl.edit",1284681454935
stopped,bundle,org.eclipse.stp.sca.diagram,2.0.1.201002010854,"org.eclipse.stp.sca.diagram",1284681454935
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.render,1.3.0.v20091126-1420,"org.eclipse.gmf.runtime.diagram.ui.render",1284681454935
stopped,bundle,org.eclipse.gmf.runtime.diagram.ui.printing.render,1.2.1.v20090729-2029,"org.eclipse.gmf.runtime.diagram.ui.printing.render",1284681454935
stopped,bundle,org.eclipse.gmf.runtime.draw2d.ui.render.awt,1.3.0.v20100113-1121,"org.eclipse.gmf.runtime.draw2d.ui.render.awt",1284681454935
stopped,bundle,org.eclipse.tptp.test.samples,4.3.2.v200911121900,"org.eclipse.tptp.test.samples",1284681454935
stopped,bundle,org.eclipse.tptp.platform.report.ui,4.1.401.v200910161321,"org.eclipse.tptp.platform.report.ui",1284681454935
stopped,bundle,org.eclipse.tptp.platform.report.core,4.4.201.v200910161321,"org.eclipse.tptp.platform.report.core",1284681454935
stopped,bundle,org.eclipse.tptp.platform.report.birt.ui,4.4.201.v201002100300,"org.eclipse.tptp.platform.report.birt.ui",1284681454935
stopped,bundle,org.eclipse.tptp.platform.report.birt,4.4.300.v200905180100,"org.eclipse.tptp.platform.report.birt",1284681454935
stopped,bundle,org.eclipse.birt.report.engine,2.5.2.v20100210,"org.eclipse.birt.report.engine",1284681454935
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1284681454935
stopped,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1284681454935
stopped,bundle,org.eclipse.stp.policy.wtp.editor,1.0.0.201002010854,"org.eclipse.stp.policy.wtp.editor",1284681454935
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.202.v200904271449,"org.eclipse.wst.wsdl.ui",1284681454935
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1284681454935
stopped,bundle,com.google.appengine.eclipse.sdkbundle.1.3.3,1.3.3.v201004231111,"com.google.appengine.eclipse.sdkbundle.1.3.3",1284681454935
stopped,bundle,com.google.gdt.eclipse.suite,1.3.2.v201003242055,"com.google.gdt.eclipse.suite",1284681454935
stopped,bundle,com.google.appengine.eclipse.sdkbundle.1.3.4,1.3.4.v201005212032,"com.google.appengine.eclipse.sdkbundle.1.3.4",1284681454935
stopped,bundle,com.google.appengine.eclipse.core,1.3.2.v201003242055,"com.google.appengine.eclipse.core",1284681454935
stopped,bundle,com.google.gwt.eclipse.sdkbundle.2.0.3,2.0.3.v201002191036,"com.google.gwt.eclipse.sdkbundle.2.0.3",1284681454935
stopped,bundle,com.google.gwt.eclipse.core,1.3.2.v201003242055,"com.google.gwt.eclipse.core",1284681454951
stopped,bundle,com.google.gwt.eclipse.oophm,1.3.2.v201003242055,"com.google.gwt.eclipse.oophm",1284681454951
stopped,bundle,com.google.gdt.eclipse.core,1.3.2.v201003242055,"com.google.gdt.eclipse.core",1284681454951
stopped,bundle,com.google.gdt.eclipse.platform,1.3.2.v201003242055,"com.google.gdt.eclipse.platform",1284681454951
stopped,bundle,com.google.gdt.eclipse.platform.e35,1.3.2.v201003242055,"com.google.gdt.eclipse.platform.e35",1284681454951
stopped,bundle,org.eclipse.jst.jsf.ui,1.2.3.v201001271707,"org.eclipse.jst.jsf.ui",1284681454951
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.0.v20090525,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1284681454951
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.1.4.v20100203,"org.eclipse.jst.pagedesigner.jsf.ui",1284681454951
stopped,bundle,org.eclipse.jst.pagedesigner,1.2.3.v20100211,"org.eclipse.jst.pagedesigner",1284681454951
stopped,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.200.v200904140255,"org.eclipse.wst.jsdt.web.support.jsp",1284681454951
stopped,bundle,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.ui",1284681454951
stopped,bundle,org.eclipse.php.server.ui,2.1.1.v20090707-1108,"org.eclipse.php.server.ui",1284681454951
stopped,bundle,org.eclipse.php.debug.ui,2.1.1.v20090921-1100,"org.eclipse.php.debug.ui",1284681454951
stopped,bundle,org.eclipse.php.debug.core,2.1.1.v20090921-1100,"org.eclipse.php.debug.core",1284681454951
stopped,bundle,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.ui",1284681455013
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.web.ui",1284681455013
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.ui",1284681455013
stopped,bundle,org.eclipse.jpt.ui,2.2.2.v200911250220,"org.eclipse.jpt.ui",1284681455013
